Year,Days,Fatal,Griev,Simpl,Colln
2014,Mon,26,7,4,1
2014,Tue,30,9,4,2
2014,Wed,35,7,4,3
2014,Thu,41,6,5,3
2014,Fri,27,12,2,3
2014,Sat,36,8,0,4
2014,Sun,31,5,6,2
2015,Mon,44,8,8,3
2015,Tue,42,5,3,2
2015,Wed,33,12,1,2
2015,Thu,32,12,3,1
2015,Fri,57,12,4,2
2015,Sat,42,9,1,0
2015,Sun,40,7,4,2
2016,Mon,37,13,0,0
2016,Tue,32,8,1,1
2016,Wed,36,7,1,4
2016,Thu,39,12,2,0
2016,Fri,32,7,2,4
2016,Sat,28,15,1,2
2016,Sun,32,6,2,2
2017,Mon,25,11,3,3
2017,Tue,26,8,2,0
2017,Wed,26,9,3,1
2017,Thu,31,7,2,2
2017,Fri,26,10,3,1
2017,Sat,29,4,3,0
2017,Sun,23,7,0,2
2018,Mon,32,8,0,4
2018,Tue,27,6,3,3
2018,Wed,23,13,1,1
2018,Thu,28,11,1,3
2018,Fri,26,7,0,1
2018,Sat,26,7,0,1
2018,Sun,33,8,0,0
2019,Mon,29,15,2,0
2019,Tue,32,7,4,2
2019,Wed,39,13,0,1
2019,Thu,31,11,1,1
2019,Fri,36,12,3,0
2019,Sat,23,12,1,1
2019,Sun,28,12,1,1
2020,Mon,12,8,1,0
2020,Tue,24,7,1,2
2020,Wed,16,4,3,0
2020,Thu,17,6,2,1
2020,Fri,21,5,1,1
2020,Sat,12,4,2,0
2020,Sun,15,6,1,0
